服务器ID,玩家ID,事件次数
2020708,41492715,9
2020708,34586941,9
2020408,20871336,9
2020708,7651372,9
2021008,208769033,9
2021008,212725450,9
2020208,17593825,9
2020208,23127214,9
2020108,46675978,9
2020608,3976434,9
2020108,24540830,9
2020808,80151769,9
2020408,20356508,9
2020608,7081997,9
2020708,35971941,9
2020608,67737031,9
2021108,62146758,9
2021208,7394435,9
2020208,5058136,9
2020708,24632559,9
2039502,33951780,9
2020808,79974010,9
2020208,8160573,9
2020708,23257706,9
2021008,209523409,9
2020208,15227841,9
2020408,7912336,9
2021108,37693967,9
2020108,30834896,9
2020408,18269148,9
2020208,15541790,9
2039502,31747215,9
2020808,79776397,9
2020808,85708585,9
2020608,43717191,8
2021108,61159801,8
2020108,54315742,8
2020108,33024369,8
2089802,215003922,8
2020608,50159755,8
2092602,220365014,8
2020408,22689590,8
2020708,39750047,8
2020208,19846321,8
2020908,79815782,8
2020108,31656932,8
2021108,60572687,8
2020608,35627759,8
2021108,53568722,8
2020608,30617128,8
2020608,37340062,8
2021108,38251883,8
2052702,55833892,8
2021108,64442454,8
2020608,73873200,8
2020208,55411106,8
2020108,44782814,8
2089802,215164277,8
2020608,34352513,8
2020108,29126810,8
2021108,9570697,8
2020608,347550,8
2020108,35795613,8
2021108,61421272,8
2020808,201518206,8
2020608,47282630,8
2001408,218756550,8
2020608,10724076,8
2021208,13798427,8
2020408,38613945,8
2020608,29144219,8
2020808,74493708,8
2020608,37253685,8
2092202,222452520,8
2020708,38719209,8
2020608,4200722,8
2020708,40264020,8
2020808,77882057,8
2021108,65596150,8
2020108,79620375,8
2020608,47431547,8
2020208,21987936,8
2020708,6028420,8
2020808,85663896,8
2020208,9662358,8
2021008,206190188,8
2020108,21815762,8
2020408,52567168,8
2020908,200209343,8
2020108,68307090,7
2020608,53324485,7
2020608,70398912,7
2021108,56652976,7
2020708,121949783,7
2020908,206129955,7
2020408,13951446,7
2020108,28753649,7
2020608,41910339,7
2020808,200910821,7
2021108,57017014,7
2020608,67835639,7
2020808,41440335,7
2021208,25859661,7
2021108,21071657,7
2020608,59875468,7
2020108,47059137,7
2020808,74577634,7
2020108,57503448,7
2021108,64516532,7
2020108,58212824,7
2089802,215212281,7
2020808,82658567,7
2020108,43943084,7
2020608,52607239,7
2021108,65138135,7
2020108,56451856,7
2020408,28260779,7
2021008,212231825,7
2021108,42080759,7
2020408,16045691,7
2020408,40374033,7
2021108,57658759,7
2020608,7087738,7
2020108,3781116,7
2020808,85667476,7
2020608,67712282,7
2020208,25220083,7
2020608,46626552,7
2021008,208717179,7
2020608,3977558,7
2020808,201916735,7
2020608,71223757,7
2020808,86281742,7
2021108,65968186,7
2021108,61216894,7
2088902,213710005,7
2020808,203681405,7
2020608,57711906,7
2020208,14421637,7
2020108,71538718,7
2020808,202721668,7
2021008,211039530,7
2020108,8914963,6
2020108,35740144,6
2020908,81600916,6
2020108,13024883,6
2021108,56649989,6
2020808,82363364,6
2020108,8963465,6
2020708,12925622,6
2020908,79878389,6
2020808,79164685,6
2020808,87080912,6
2020708,41532717,6
2020108,56031221,6
2021208,23364999,6
2020108,72635989,6
2020808,74603886,6
2020208,43656083,6
2020608,8638645,6
2020408,22165551,6
2020808,85485575,6
2020108,34354309,6
2020708,6018287,6
2021008,209124097,6
2603302,124187554,6
2020208,3074918,6
2020608,204960720,6
2021208,15854387,6
2020808,80644460,6
2020108,58716315,6
2020408,24797713,6
2020808,79966509,6
2020808,85888980,6
2021208,13381495,6
2021008,206940270,6
2020608,50072583,6
2020808,86227742,6
2020408,69483532,6
2020208,27214385,6
2021008,211016440,6
2020808,76475202,6
2020608,47462189,6
2021108,27236554,6
2020608,44926576,6
2020408,20746522,6
2020608,24168705,6
2021008,210267883,6
2020408,6561284,6
2021108,37509608,6
2020408,20473021,6
2020808,86035787,6
2021108,43060407,6
2020908,80692993,6
2021108,38137211,6
2020408,23619815,6
2020108,8574091,6
2020408,72848715,6
2020808,77214953,6
2020408,43218430,6
2020108,72885434,6
2020608,46610504,6
2020108,20555835,6
2021108,120552916,6
2020708,39951938,6
2020808,80595379,6
2020108,56116279,6
2020608,46220970,6
2021208,23110191,6
2021008,209989850,6
2020208,8167842,6
2020608,54690443,6
2020608,46973434,6
2021108,37136412,5
2020408,10648389,5
2020408,24727227,5
2021208,13088875,5
2020708,15680473,5
2020608,48956693,5
2021208,13423088,5
2020608,59717715,5
2021108,66022243,5
2020608,47239784,5
2020108,35489375,5
2020608,45939459,5
2001408,218753804,5
2021208,8419745,5
2020208,12411428,5
2021108,57327304,5
2020408,27044121,5
2088902,213654411,5
2041002,35494962,5
2020108,77154558,5
2020908,200543839,5
2608202,220807674,5
2020608,37774016,5
2021208,22920545,5
2020408,69139439,5
2608202,220753530,5
2021008,212090192,5
2020208,15601095,5
2090002,215532076,5
2020608,45845602,5
2020608,2588270,5
2020608,53335368,5
2020808,81498402,5
2020708,23073231,5
2001408,218791480,5
2020408,49612820,5
2020108,72733375,5
2062602,63260967,5
2021008,207820001,5
2020208,3005757,5
2020108,13958114,5
2020808,74174722,5
2020608,73875235,5
2020208,4718092,5
2021108,67391495,5
2021108,9597825,5
2089202,213051120,5
2020208,27222556,5
2020108,34765190,5
2020108,6921102,5
2021108,14808266,5
2092202,219499139,5
2020808,80080095,5
2020208,17480610,5
2021108,10091853,5
2020608,208990339,5
2020408,26068370,5
2020408,68323524,5
2021208,21686379,5
2091102,217441346,5
2020408,22983269,5
2092802,220619734,5
2021208,13507689,5
2020708,23936089,5
2020408,120353759,5
2020708,36153809,5
2020108,72635564,5
2021108,37864112,5
2020108,17718146,4
2020108,63817746,4
2020408,24782182,4
2021008,209210039,4
2020408,20523616,4
2021008,209211365,4
2020208,20188854,4
2020208,23245682,4
2020208,2985676,4
2020108,79359273,4
2020208,24783600,4
2020708,23406002,4
2020808,85601968,4
2020108,29035701,4
2020408,28348337,4
2020208,22653584,4
2089202,213075067,4
2020808,82992489,4
2020708,23555254,4
2020908,78064664,4
2021108,21907396,4
2020608,55218853,4
2020808,211619172,4
2020208,41172607,4
2020908,202183265,4
2020608,47842904,4
2020608,70156027,4
2021108,21816677,4
2089202,212873640,4
2021008,211047661,4
2020408,52652477,4
2020408,23675475,4
2092002,219075914,4
2020408,18040806,4
2020608,64981060,4
2020608,30469632,4
2060902,59966927,4
2020408,38746584,4
2074702,75217526,4
2020108,57650512,4
2021008,211028627,4
2090002,216505329,4
2021108,26898124,4
2020108,70687690,4
2056102,49380068,4
2020408,20621797,4
2021208,13613636,4
2020608,25825344,4
2020608,48528618,4
2020108,12678186,4
2020208,11139491,4
2020408,13107662,4
2020108,54541363,4
2020208,3393056,4
2020608,4558571,4
2020408,68083877,4
2020808,84393747,4
2020108,212109674,4
2021208,13554540,4
2020608,7837058,4
2021208,6667137,4
2021208,9313031,4
2001408,218819964,4
2021208,12006488,4
2020608,42723630,4
2020108,32568814,4
2020408,14796291,4
2020408,16391102,4
2020208,8190086,4
2020908,79873129,4
2021208,26903208,4
2021108,60702281,4
2089202,214136607,4
2020608,38339905,4
2020708,21638844,4
2020608,30034713,4
2020708,36486502,4
2020908,87323516,4
2020608,5149995,4
2021208,13591854,4
2020108,55259690,4
2020608,46012307,4
2021008,212181977,3
2092802,220856232,3
2020808,86580266,3
2020208,18633570,3
2077702,201851631,3
2020108,33639865,3
2020408,28268584,3
2021208,13121990,3
2021108,12370286,3
2021208,23246029,3
2020708,40540878,3
2092202,221396965,3
2020708,21297005,3
2020208,5968693,3
2020808,87942066,3
2020108,52825449,3
